  0,    0,    0
  5,    0,    0
 10,    0,    0
 15,    0,    0
 20,    0,    0
 25,    0,    0
 30,    0,    0
 35,    0,    0
 40,    0,    0
 45,    0,    0
 50,    0,    0
 55,    0,    0
 60,    0,    0
 65,   52,   36
 70,   74,   58
 75,   96,   78
 80,  119,   99
 85,  142,  121
 90,  166,  143
 95,  183,  165
100,  191,  172
